Statistical profiling result from naudodon-neo.log, (2136 ticks, 678 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    2.0%    0.2%  isprint@@GLIBC_2.2.5
      4    2.0%    0.2%  clock_nanosleep@GLIBC_2.2.5
      2    1.0%    0.1%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
      2    1.0%    0.1%  brk@@GLIBC_2.2.5
      2    1.0%    0.1%  __open@@GLIBC_2.2.5
      2    1.0%    0.1%  __libc_malloc@@GLIBC_2.2.5
      1    0.5%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.5%    0.0%  pthread_getattr_default_np@@GLIBC_2.34
      1    0.5%    0.0%  pthread_create@GLIBC_2.2.5
      1    0.5%    0.0%  operator new[](unsigned long, std::nothrow_t const&)@@GLIBCXX_3.4
      1    0.5%    0.0%  getdents64@@GLIBC_2.30
      1    0.5%    0.0%  fputc@@GLIBC_2.2.5
      1    0.5%    0.0%  cfree@GLIBC_2.2.5
      1    0.5%    0.0%  __pthread_once@GLIBC_2.2.5
      1    0.5%    0.0%  __errno_location@@GLIBC_2.2.5
      1    0.5%    0.0%  __close_nocancel@@GLIBC_PRIVATE
      1    0.5%    0.0%  __close@@GLIBC_2.2.5
      1    0.5%    0.0%  _IO_file_sync@@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    785   36.8%  epoll_pwait@@GLIBC_2.6

    678   31.7%  UNKNOWN
    154   22.7%    JS: ^asString /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/fast-json-stringify@5.13.0/node_modules/fast-json-stringify/lib/serializer.js:101:12
    154  100.0%      JS: ^anonymous0 :7:25
    154  100.0%        JS: ^<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1646
    137   89.0%          JS: ^emit node:events:466:44
    137  100.0%            JS: ^emit node:domain:477:44
     17   11.0%          JS: *emit node:events:466:44
     17  100.0%            JS: ^emit node:domain:477:44
    127   18.7%    JS: ^fromStringFast node:buffer:441:24
    127  100.0%      JS: ^fromString node:buffer:460:20
    127  100.0%        JS: ^from node:buffer:292:28
    124   97.6%          JS: ^sliceBuffer node:dgram:483:21
    124  100.0%            JS: ^Socket.send node:dgram:577:33
      3    2.4%          JS: ~sliceBuffer node:dgram:483:21
      3  100.0%            JS: ~Socket.send node:dgram:577:33
     91   13.4%    JS: ~AudioIO /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/naudiodon-neo@2.4.1/node_modules/naudiodon-neo/index.js:31:17
     91  100.0%      Script: ~<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1
     91  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
     62    9.1%    JS: ~toString node:buffer:811:46
     61   98.4%      JS: ^<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1646
     51   83.6%        JS: ^emit node:events:466:44
     51  100.0%          JS: ^emit node:domain:477:44
     51  100.0%            JS: ^addChunk node:internal/streams/readable:548:18
     10   16.4%        JS: *emit node:events:466:44
     10  100.0%          JS: ^emit node:domain:477:44
     10  100.0%            JS: ^addChunk node:internal/streams/readable:548:18
      1    1.6%      JS: ~<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1646
      1  100.0%        JS: ^emit node:events:466:44
      1  100.0%          JS: ^emit node:domain:477:44
      1  100.0%            JS: ^addChunk node:internal/streams/readable:548:18
     27    4.0%    JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     25   92.6%      JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      6   24.0%        JS: ~<anonymous> node:repl:1:1
      6  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      6  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      3   12.0%        JS: ~<anonymous> node:internal/fs/promises:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
